,AAPL__hl,AAPL__co,AAPL__ocp,AAPL__log_returns,AAPL__lret_squared,AAPL__earning_horizon1,AAPL__earning_horizon2,AAPL__earning_horizon3,AAPL__earning_horizon4,AAPL
2015-04-27,0.0203453212188795,0.0089290568794962,0.0030782764002112,0.0120073332797074,0.0001441760524899,1,0,0,0,0.2162917481517658
2015-04-28,0.0317904753558149,-0.0136949317623907,0.0116402147045019,-0.0020547170578888,4.221862187979387e-06,0,0,0,0,0.3784536631195799
2015-04-29,0.0242291589407363,-0.008170231975344,-0.0076470511058431,-0.0158172830811871,0.0002501864440704,0,0,0,0,0.2867172005455543
2015-04-30,0.0247703281637162,-0.0244510943222183,-0.0061174273279195,-0.0305685216501379,0.0009344345158749,0,0,0,0,0.1689416775812095
2015-05-01,0.0172525498232927,0.0108881687544421,0.006204776886883,0.0170929456413251,0.0002921687906972,0,0,0,0,0.1888522357628269
2015-05-04,0.0228626815594709,0.010369266957209,0.0003938650279717,0.0107631319851808,0.0001158450101304,0,0,0,0,0.2354415946865304
2015-05-05,0.019732563468003,-0.0159076444198061,-0.0043568309365742,-0.0202644753563805,0.0004106489614693,0,0,0,0,0.1709117674690777
2015-05-06,0.0262128132514105,-0.0222612615600118,0.0035967707398568,-0.0186644908201549,0.0003483632175756,0,0,0,0,0.203948236717738
2015-05-07,0.0162358107121974,0.009743691202575,0.0093991114855883,0.0191428026881634,0.0003664468947579,0,0,0,0,0.2150216423288086
2015-05-08,0.0114383773136869,0.0095803301301559,0.0019859465716168,0.0115662767017727,0.0001337787567419,0,0,0,0,0.0924369093997856
2015-05-11,0.0147749322474168,-0.0037015202727483,-0.0004990500470009,-0.0042005703197491,1.764479101115778e-05,0,0,0,0,0.1619710553302926
2015-05-12,0.015968561759484,0.0069332613054053,-0.0083987499480051,-0.0014654886425997,2.147656961588905e-06,0,0,0,0,0.2126634711514708
2015-05-13,0.0091656773144795,0.0019012918664203,-0.003517713284988,-0.0016164214185678,2.6128182024050024e-06,0,0,0,0,0.1155493066707318
2015-05-14,0.0133616373418893,0.0131264530762625,0.0062337942082789,0.0193602472845415,0.0003748191749185,0,0,0,0,0.1245586475327556
2015-05-15,0.0095015541483463,-0.0021749270652001,0.0004656577499739,-0.001709269315226,2.921601591973435e-06,0,0,0,0,0.1047348390503193
2015-05-18,0.0177589478254838,0.0149844465858444,-0.0007779074682444,0.0142065391176,0.0002018257536999,0,0,0,0,0.1342866789280163
2015-05-19,0.0072835322700089,0.0017618450304121,-7.66665389270316e-05,0.0016851784914848,2.839826548163196e-06,0,0,0,0,0.0798973670249666
2015-05-20,0.0088482710700817,0.0032325940838929,-0.0036804212683621,-0.0004478271844692,2.0054918714963726e-07,0,0,0,0,0.1107294485884015
2015-05-21,0.0127056612404837,0.010247826150409,-0.0037704557127497,0.0064773704376595,4.195632778666525e-05,0,0,0,0,0.117047356872666
2015-05-22,0.0118028643464359,0.0087826124795907,0.0003787789520252,0.0091613914316157,8.39310929632827e-05,0,0,0,0,0.1004001302559217
2015-05-25,0.0118028643464359,0.0087826124795907,0.0003787789520252,0.0091613914316157,8.39310929632827e-05,0,0,0,0,0.1004001302559217
2015-05-26,0.0248344667562314,-0.0218850474606636,-0.0006032272841643,-0.0224882747448278,0.0005057225009988,0,0,0,0,0.1765724301260187
2015-05-27,0.0165489663257175,0.0146079360427264,0.0027715777230674,0.0173795137657939,0.0003020474987354,0,0,0,0,0.1251810777721299
2015-05-28,0.0060078510681391,0.0005697032000492,-0.0028376992721438,-0.0022679960720943,5.143806183035538e-06,0,0,0,0,0.080904407177916
2015-05-29,0.0110151806018127,-0.0061068892081793,-0.0021666009957712,-0.0082734902039507,6.845064015486885e-05,0,0,0,0,0.1133163722853455
2015-06-01,0.0106314818343519,-0.003167155834629,0.0048884912505699,0.0017213354159411,2.9629956141731384e-06,0,0,0,0,0.1388785190981274
2015-06-02,0.0097291620939987,0.0008446919296629,-0.0050192637799021,-0.0041745718502395,1.742705013281209e-05,0,0,0,0,0.1349292862384286
2015-06-03,0.0074392805098426,-0.0024532498304663,0.0027602337162234,0.000306983885757,9.423910611447064e-08,0,0,0,0,0.0911443547637154
2015-06-04,0.0125636599169728,-0.0058948033180528,-0.0030740878804217,-0.0089688911984744,8.044100933007224e-05,0,0,0,0,0.1374310361639868
2015-06-05,0.0098408449817476,-0.0061149770128902,0.0031972025454045,-0.0029177744674857,8.513407843111789e-06,0,0,0,0,0.105536870355389
2015-06-08,0.0179529343433836,-0.0108378901854969,0.001318433699525,-0.0095194564859721,9.062005178831796e-05,0,0,0,0,0.1720888252297126
2015-06-09,0.0186857676043248,0.0062057810843485,-0.0052662727330339,0.0009395083513146,8.826759421899189e-07,0,0,0,0,0.2173333901739283
2015-06-10,0.0111228930355894,0.0102660724305986,0.0018787180325274,0.0121447904631262,0.0001474959353932,0,0,0,0,0.0788573699269803
2015-06-11,0.0106630588438419,-0.001549547067624,-0.0005417747123736,-0.0020913217799978,4.373626787493264e-06,0,0,0,0,0.119023246803053
2015-06-12,0.0114041519157833,-0.0109882813475402,-0.0007104950339297,-0.0116987763814702,0.0001368613688236,0,0,0,0,0.0689948985488731
2015-06-15,0.0123989742432668,-0.0023573796867121,-0.0004708098015406,-0.0028281894882526,7.998655781463051e-06,0,0,0,0,0.1374242979162042
2015-06-16,0.0108611173132242,0.0053207273086608,-0.0004721435404042,0.0048485837682568,2.3508764557803396e-05,0,0,0,0,0.1102893439219703
2015-06-17,0.00801402985567,-0.0054162383672699,9.551105860899509e-05,-0.005320727308661,2.8310139093131634e-05,0,0,0,0,0.0723802152035524
2015-06-18,0.0087678657823292,0.0048631361041729,0.0010226960730886,0.0058858321772619,3.464302041889164e-05,0,0,0,0,0.0874507388905528
2015-06-19,0.0091152603475253,-0.0057741189944533,-0.0010960621155231,-0.0068701811099765,4.7199388483877974e-05,0,0,0,0,0.0867540182740711
2015-06-22,0.0075259057003465,-0.0003138239473424,0.0043631287156775,0.0040493047683352,1.6396869106862226e-05,0,0,0,0,0.1091982416548503
2015-06-23,0.0052642038675604,-0.0021387024859484,0.0008627789860274,-0.0012759234999211,1.6279807776509518e-06,0,0,0,0,0.0568683715280242
2015-06-24,0.0197069897562128,0.0077462145480368,0.0002553149716818,0.0080015295197184,6.402447465492564e-05,0,0,0,0,0.2076278603041956
2015-06-25,0.0124620041371788,-0.0099759224950943,0.0050534607057631,-0.0049224617893308,2.4230630067422447e-05,0,0,0,0,0.1277326852085012
2015-06-26,0.0115517374302524,-0.00818661455916,7.832386923879271e-05,-0.0081082906899214,6.574437791226721e-05,0,0,0,0,0.1014451246069852
2015-06-29,0.0109681595496142,-0.0108882458563601,-0.0010191627157605,-0.0119074085721209,0.0001417863789034,0,0,0,0,0.0622803949753398
2015-06-30,0.0095618258393416,0.0012739554216383,0.0042263130568357,0.0055002684784741,3.0252953335296665e-05,0,0,0,0,0.1259490272051768
2015-07-01,0.0068032476864666,0.0001570056644211,0.0021434499637476,0.0023004556281684,5.2920960971721106e-06,0,0,0,0,0.0835894137894554
2015-07-02,0.0070498133476224,-0.0028517129591888,0.0023758623672926,-0.0004758505918962,2.264337858080154e-07,0,0,0,0,0.0830241425072788
2015-07-03,0.0070498133476224,-0.0028517129591888,0.0023758623672926,-0.0004758505918962,2.264337858080154e-07,0,0,0,0,0.0830241425072788
2015-07-06,0.0097942586649845,-0.0032636691510175,-0.0020654347315,-0.0053291038825173,2.8399348190661965e-05,0,0,0,0,0.1101136512390275
2015-07-07,0.0178407474311101,-0.0088225237154737,0.0051704366866278,-0.0036520870288456,1.3337739666262824e-05,0,0,0,0,0.1981527678064087
2015-07-08,0.0126768844764219,-0.008636140584509,-0.0030695514654119,-0.011705692049921,0.0001370232263675,0,0,0,0,0.1239461437740747
2015-07-09,0.0300288465980363,-0.028122175281664,0.0034036875114173,-0.0247184877702468,0.0006110036376478,0,0,0,0,0.1988736921960052
2015-07-10,0.0189594630663018,0.0130464994679989,0.0113560952334734,0.0244025947014727,0.0005954866281643,0,0,0,0,0.2474284903333724
